ID,FechaDelPedido,Año,Mes,Producto,PV,CV,CantidadVendida,CantidadNoVendida,TotalCV,IT,Perdidas
ID-3831,2025-08-20,2025,8,Muffin de chocolate,20.0,7.89,13,1,102.57,260.0,20
ID-3828,2025-08-22,2025,8,Muffins de yogurt,21.0,8.36,24,0,200.62,504.0, 
ID-3824,2025-08-27,2025,8,Galletas chocochips,10.0,4.07,27,5,109.94,270.0,50
ID-3827,2025-08-29,2025,8,Galletas danesas,7.0,3.11,32,3,99.58,224.0,21
ID-3825,2025-09-03,2025,9,Mini cheesecake,25.0,10.26,16,0,164.23,400.0, 
ID-3831,2025-09-05,2025,9,Muffin de chocolate,20.0,7.89,14,0,110.46,280.0, 
ID-3826,2025-09-10,2025,9,Brownie triple chocolate,20.0,8.07,18,0,145.32,360.0, 
ID-3828,2025-09-12,2025,9,Muffins de yogurt,21.0,8.36,12,0,100.31,252.0, 
ID-3824,2025-09-17,2025,9,Galletas chocochips,10.0,4.07,32,0,130.3,320.0, 
ID-3825,2025-09-19,2025,9,Mini cheesecake,25.0,10.26,15,1,153.97,375.0,25
ID-3827,2025-09-24,2025,9,Galletas danesas,7.0,3.11,35,0,108.91,245.0, 
ID-3824,2025-10-08,2025,10,Galletas chocochips,10.0,4.07,32,0,130.3,320.0, 
ID-3828,2025-10-10,2025,10,Muffins de yogurt,21.0,8.36,24,0,200.62,504.0, 
ID-3831,2025-10-15,2025,10,Muffin de chocolate,20.0,7.89,12,2,94.68,240.0,40
ID-3826,2025-10-17,2025,10,Brownie triple chocolate,20.0,8.07,18,0,145.32,360.0, 
ID-3827,2025-10-22,2025,10,Galletas danesas,7.0,3.11,34,1,105.8,238.0,7
ID-3824,2025-10-24,2025,10,Galletas chocochips,10.0,4.07,31,1,126.22,310.0,10
ID-3828,2025-10-29,2025,10,Muffins de yogurt,21.0,8.36,24,0,200.62,504.0, 
